sold,quantity,price,reduction,date,store,days
1.0,5.0,87.0,40,2021-07-31,MAG_4,1
4.0,6.0,65.0,50,2021-03-28,MAG_2,0
5.0,5.0,38.0,30,2022-01-05,MAG_4,9
5.0,5.0,102.0,40,2022-03-01,MAG_4,4
4.0,4.0,236.0,30,2021-01-12,MAG_3,4
3.0,3.0,76.0,50,2021-08-14,MAG_4,6
4.0,4.0,26.0,50,2021-08-03,MAG_3,6
12.0,12.0,65.0,50,2021-04-30,MAG_1,3
2.0,4.0,93.0,30,2021-07-15,MAG_4,1
8.0,8.0,22.0,50,2022-02-07,MAG_3,0
2.0,6.0,79.0,50,2021-06-20,MAG_2,1
6.0,6.0,99.0,30,2022-01-02,MAG_2,4
-0.0,6.0,124.0,50,2021-06-01,MAG_1,0
6.0,6.0,218.0,50,2021-08-26,MAG_2,9
0.0,2.0,48.0,50,2021-05-28,MAG_4,2
5.0,5.0,216.0,50,2021-12-22,MAG_4,6
1.0,6.0,56.0,40,2021-05-27,MAG_4,1
2.0,4.0,104.0,40,2022-03-31,MAG_1,2
3.0,6.0,136.0,50,2021-12-11,MAG_2,0
-0.0,3.0,85.0,50,2021-05-30,MAG_1,1
-0.0,5.0,53.0,50,2021-10-16,MAG_3,1
30.0,50.0,11.0,50,2022-03-25,MAG_2,0
5.0,5.0,153.0,50,2021-02-02,MAG_3,3
1.0,6.0,71.0,50,2021-02-05,MAG_4,2
1.0,2.0,112.0,50,2021-12-27,MAG_1,1
25.0,25.0,130.0,50,2021-07-24,MAG_1,5
6.0,6.0,33.0,50,2021-03-02,MAG_2,5
5.0,5.0,86.0,50,2021-04-14,MAG_3,4
0.0,1.0,132.0,50,2021-08-07,MAG_3,0
0.0,6.0,152.0,50,2022-02-20,MAG_3,1
4.0,4.0,70.0,50,2021-03-02,MAG_1,4
1.0,4.0,45.0,50,2021-04-05,MAG_3,1
1.0,4.0,127.0,50,2022-01-23,MAG_3,2
4.0,5.0,40.0,50,2021-06-18,MAG_4,0
4.0,4.0,204.0,50,2021-07-29,MAG_2,1
4.0,4.0,86.0,50,2021-07-08,MAG_1,1
6.0,6.0,67.0,50,2021-04-28,MAG_3,3
5.0,6.0,87.0,50,2021-12-12,MAG_3,1
3.0,3.0,238.0,50,2021-08-04,MAG_4,8
1.0,1.0,186.0,40,2021-01-05,MAG_4,6
4.0,4.0,39.0,50,2022-02-01,MAG_2,4
4.0,4.0,122.0,50,2021-02-20,MAG_1,7
6.0,6.0,84.0,50,2021-03-25,MAG_4,6
1.0,3.0,69.0,30,2021-11-15,MAG_2,0
4.0,4.0,104.0,40,2021-10-25,MAG_3,0
4.0,4.0,124.0,30,2021-09-15,MAG_2,3
2.0,6.0,167.0,50,2021-12-07,MAG_3,0
2.0,2.0,179.0,50,2022-02-19,MAG_2,1
1.0,3.0,56.0,50,2021-09-18,MAG_4,1
1.0,4.0,91.0,40,2021-06-15,MAG_4,1
0.0,20.0,167.0,50,2021-11-30,MAG_4,2
2.0,5.0,53.0,50,2021-08-18,MAG_2,2
10.0,12.0,142.0,30,2021-02-25,MAG_3,1
2.0,5.0,141.0,50,2021-05-15,MAG_1,1
5.0,5.0,37.0,30,2021-03-16,MAG_3,0
4.0,4.0,238.0,50,2022-03-18,MAG_2,1
8.0,10.0,15.0,50,2021-10-27,MAG_3,1
1.0,1.0,64.0,30,2022-02-12,MAG_2,1
5.0,5.0,62.0,50,2021-03-14,MAG_3,9
12.0,12.0,193.0,50,2021-06-27,MAG_2,3
0.0,4.0,107.0,50,2021-12-16,MAG_4,1
3.0,5.0,80.0,30,2021-12-03,MAG_1,0
2.0,6.0,35.0,30,2021-09-23,MAG_3,0
4.0,4.0,99.0,40,2021-03-30,MAG_2,1
2.0,8.0,128.0,50,2021-10-14,MAG_1,1
0.0,3.0,110.0,30,2021-07-23,MAG_4,1
-0.0,2.0,122.0,50,2021-04-14,MAG_3,1
3.0,3.0,34.0,40,2021-02-04,MAG_2,5
3.0,6.0,144.0,50,2021-11-15,MAG_3,2
0.0,3.0,111.0,30,2021-10-26,MAG_1,0
3.0,5.0,74.0,30,2021-03-29,MAG_3,1
3.0,6.0,139.0,50,2021-11-10,MAG_2,1
1.0,5.0,78.0,30,2021-04-26,MAG_4,1
2.0,5.0,211.0,40,2022-03-21,MAG_3,2
2.0,3.0,116.0,50,2021-02-10,MAG_1,1
1.0,5.0,66.0,50,2021-03-07,MAG_2,1
3.0,5.0,150.0,40,2021-11-24,MAG_2,0
4.0,4.0,34.0,50,2022-03-27,MAG_1,8
6.0,6.0,141.0,50,2021-05-28,MAG_4,7
10.0,10.0,258.0,50,2021-03-14,MAG_2,7
-0.0,6.0,37.0,50,2021-10-07,MAG_1,1
4.0,6.0,95.0,30,2021-07-11,MAG_2,0
3.0,5.0,60.0,50,2022-02-10,MAG_4,1
30.0,30.0,34.0,50,2022-02-19,MAG_3,3
5.0,5.0,65.0,30,2021-11-12,MAG_1,6
3.0,3.0,201.0,50,2022-01-12,MAG_3,0
5.0,5.0,118.0,30,2021-01-07,MAG_1,4
-0.0,1.0,168.0,50,2021-05-17,MAG_2,0
0.0,5.0,74.0,50,2021-04-30,MAG_2,1
1.0,3.0,201.0,50,2022-03-22,MAG_4,1
2.0,2.0,191.0,40,2021-12-25,MAG_4,7
2.0,6.0,184.0,30,2022-03-21,MAG_2,1
3.0,3.0,98.0,50,2021-09-22,MAG_1,5
3.0,3.0,131.0,40,2021-02-06,MAG_3,3
8.0,10.0,23.0,50,2022-02-08,MAG_4,1
4.0,5.0,105.0,50,2021-12-04,MAG_2,1
0.0,1.0,78.0,50,2021-08-05,MAG_3,1
6.0,6.0,142.0,50,2021-08-02,MAG_1,4
2.0,4.0,36.0,30,2022-03-02,MAG_4,1
5.0,5.0,60.0,50,2021-12-29,MAG_2,1
12.0,12.0,48.0,50,2021-09-08,MAG_2,8
4.0,4.0,203.0,50,2022-03-15,MAG_3,5
2.0,2.0,146.0,50,2021-10-01,MAG_3,7
-0.0,1.0,230.0,30,2022-03-01,MAG_4,1
1.0,1.0,32.0,40,2021-04-05,MAG_1,0
6.0,6.0,65.0,30,2021-07-18,MAG_1,5
1.0,2.0,89.0,40,2022-01-23,MAG_2,1
6.0,6.0,256.0,30,2021-08-09,MAG_1,9
0.0,1.0,134.0,40,2021-04-10,MAG_2,1
4.0,6.0,127.0,50,2022-03-02,MAG_2,1
5.0,6.0,27.0,50,2021-07-17,MAG_1,1
3.0,4.0,81.0,50,2021-09-09,MAG_1,1
2.0,3.0,39.0,50,2021-03-18,MAG_2,1
2.0,2.0,18.0,50,2021-09-19,MAG_2,1
6.0,6.0,101.0,50,2021-12-01,MAG_1,4
5.0,5.0,21.0,30,2021-10-19,MAG_1,8
0.0,4.0,187.0,50,2022-01-02,MAG_1,1
0.0,3.0,47.0,50,2021-09-27,MAG_2,1
1.0,4.0,108.0,30,2021-04-16,MAG_4,0
1.0,4.0,132.0,50,2021-03-12,MAG_2,1
1.0,2.0,78.0,50,2021-09-25,MAG_4,1
4.0,4.0,127.0,30,2022-01-22,MAG_4,5
3.0,4.0,173.0,50,2021-11-01,MAG_2,1
12.0,12.0,54.0,50,2022-02-12,MAG_1,8
2.0,4.0,25.0,30,2021-06-28,MAG_2,1
0.0,2.0,52.0,50,2021-07-02,MAG_2,1
2.0,2.0,69.0,30,2021-05-07,MAG_4,1
5.0,5.0,62.0,40,2021-07-18,MAG_3,3
2.0,2.0,90.0,50,2021-08-05,MAG_2,1
3.0,6.0,129.0,50,2021-02-26,MAG_2,1
5.0,5.0,72.0,30,2021-05-19,MAG_3,0
20.0,20.0,89.0,30,2021-01-29,MAG_2,8
1.0,6.0,83.0,50,2021-07-19,MAG_4,1
2.0,5.0,93.0,40,2021-12-03,MAG_1,1
3.0,3.0,69.0,50,2022-03-17,MAG_2,7
2.0,4.0,88.0,40,2022-02-20,MAG_2,1
3.0,4.0,207.0,50,2022-03-17,MAG_4,1
3.0,3.0,124.0,50,2021-03-25,MAG_2,0
0.0,3.0,210.0,50,2021-07-22,MAG_3,1
2.0,2.0,91.0,50,2021-07-15,MAG_4,8
2.0,3.0,53.0,30,2021-10-23,MAG_4,0
1.0,1.0,31.0,50,2022-03-13,MAG_3,9
6.0,6.0,40.0,50,2022-03-12,MAG_1,1
10.0,10.0,174.0,50,2021-08-22,MAG_2,5
5.0,6.0,110.0,50,2021-12-30,MAG_2,2
0.0,5.0,102.0,30,2021-12-06,MAG_1,1
2.0,4.0,132.0,50,2022-02-23,MAG_1,1
3.0,6.0,105.0,50,2021-04-20,MAG_3,1
0.0,2.0,65.0,50,2021-04-04,MAG_4,2
10.0,10.0,156.0,50,2021-08-01,MAG_1,5
2.0,3.0,220.0,40,2021-04-02,MAG_1,1
4.0,4.0,34.0,40,2021-10-07,MAG_3,7
1.0,1.0,110.0,50,2021-08-07,MAG_4,2
6.0,6.0,103.0,50,2022-01-10,MAG_4,6
4.0,6.0,134.0,30,2021-05-14,MAG_4,1
1.0,5.0,11.0,50,2021-11-04,MAG_2,1
3.0,3.0,74.0,50,2021-11-24,MAG_4,1
1.0,5.0,54.0,50,2022-03-02,MAG_2,1
2.0,3.0,99.0,50,2021-09-11,MAG_3,1
5.0,5.0,74.0,30,2022-01-24,MAG_4,9
5.0,5.0,59.0,50,2021-06-10,MAG_2,5
1.0,3.0,112.0,40,2021-05-27,MAG_2,2
2.0,10.0,70.0,50,2021-02-13,MAG_1,1
3.0,3.0,138.0,50,2021-05-09,MAG_3,1
3.0,4.0,207.0,50,2021-06-22,MAG_1,1
3.0,3.0,129.0,50,2021-03-05,MAG_3,8
4.0,4.0,101.0,30,2021-05-24,MAG_1,5
1.0,6.0,19.0,30,2021-10-17,MAG_3,1
4.0,6.0,137.0,40,2021-03-10,MAG_3,0
0.0,1.0,128.0,50,2021-01-05,MAG_4,0
3.0,3.0,71.0,30,2021-11-17,MAG_4,7
2.0,2.0,47.0,50,2021-03-27,MAG_4,0
5.0,5.0,104.0,50,2021-10-02,MAG_1,7
6.0,6.0,202.0,50,2021-06-04,MAG_4,7
0.0,3.0,90.0,50,2021-01-30,MAG_1,2
-0.0,1.0,207.0,50,2021-10-04,MAG_2,0
2.0,6.0,139.0,50,2021-12-01,MAG_3,0
10.0,10.0,92.0,50,2021-08-21,MAG_2,1
3.0,3.0,23.0,50,2021-03-11,MAG_2,1
5.0,5.0,66.0,30,2022-01-02,MAG_1,5
6.0,6.0,140.0,40,2021-10-15,MAG_2,7
2.0,5.0,136.0,50,2021-04-09,MAG_1,1
4.0,5.0,30.0,30,2022-01-06,MAG_2,0
1.0,5.0,49.0,30,2021-11-19,MAG_3,0
2.0,2.0,117.0,50,2021-03-28,MAG_2,1
3.0,5.0,73.0,50,2021-08-21,MAG_2,1
12.0,12.0,173.0,50,2021-07-01,MAG_2,4
4.0,4.0,101.0,50,2021-08-23,MAG_3,1
0.0,2.0,264.0,50,2021-11-01,MAG_4,0
4.0,5.0,43.0,30,2021-05-23,MAG_4,0
3.0,5.0,26.0,50,2021-09-30,MAG_3,1
3.0,5.0,38.0,40,2021-08-15,MAG_3,1
6.0,6.0,12.0,50,2022-03-05,MAG_3,9
2.0,3.0,56.0,50,2021-01-20,MAG_1,1
2.0,2.0,116.0,30,2021-07-22,MAG_4,1
6.0,6.0,35.0,50,2021-04-13,MAG_3,3
0.0,10.0,70.0,30,2021-12-20,MAG_2,1
5.0,5.0,47.0,50,2021-06-29,MAG_2,4
3.0,3.0,138.0,30,2021-10-25,MAG_2,8
1.0,4.0,125.0,50,2022-03-13,MAG_4,0
0.0,5.0,51.0,30,2021-09-29,MAG_4,0
1.0,5.0,187.0,50,2021-09-11,MAG_2,1
3.0,6.0,52.0,40,2021-12-30,MAG_4,1
2.0,3.0,92.0,40,2021-05-04,MAG_2,0
10.0,10.0,206.0,50,2021-04-13,MAG_4,8
2.0,8.0,161.0,50,2021-12-19,MAG_4,0
5.0,5.0,86.0,50,2021-09-16,MAG_4,9
5.0,5.0,47.0,50,2021-02-15,MAG_4,8
2.0,3.0,88.0,30,2021-11-26,MAG_1,1
5.0,6.0,71.0,40,2021-03-02,MAG_1,0
1.0,6.0,121.0,50,2021-12-20,MAG_2,2
2.0,5.0,99.0,50,2021-07-09,MAG_3,1
-0.0,3.0,158.0,50,2021-04-13,MAG_4,1
2.0,3.0,141.0,50,2021-09-27,MAG_1,1
6.0,6.0,83.0,40,2021-07-15,MAG_4,9
